ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Human Development Index (2021)
AFG,Afghanistan,Low,SA,180,0.478
AGO,Angola,Medium,SSA,148,0.586
ALB,Albania,High,ECA,67,0.796
AND,Andorra,Very High,,40,0.858
ARE,United Arab Emirates,Very High,AS,26,0.911
ARG,Argentina,Very High,LAC,47,0.842
ARM,Armenia,High,ECA,85,0.759
ATG,Antigua and Barbuda,High,LAC,71,0.788
AUS,Australia,Very High,,5,0.951
AUT,Austria,Very High,,25,0.916
AZE,Azerbaijan,High,ECA,91,0.745
BDI,Burundi,Low,SSA,187,0.426
BEL,Belgium,Very High,,13,0.937
BEN,Benin,Low,SSA,166,0.525
BFA,Burkina Faso,Low,SSA,184,0.449
BGD,Bangladesh,Medium,SA,129,0.661
BGR,Bulgaria,High,,68,0.795
BHR,Bahrain,Very High,AS,35,0.875
BHS,Bahamas,Very High,LAC,55,0.812
BIH,Bosnia and Herzegovina,High,ECA,74,0.78
BLR,Belarus,Very High,ECA,60,0.808
BLZ,Belize,Medium,LAC,123,0.683
BOL,Bolivia,Medium,LAC,118,0.692
BRA,Brazil,High,LAC,87,0.754
BRB,Barbados,High,LAC,70,0.79
BRN,Brunei,Very High,EAP,51,0.829
BTN,Bhutan,Medium,SA,127,0.666
BWA,Botswana,Medium,SSA,117,0.693
CAF,Central African Republic,Low,SSA,188,0.404
CAN,Canada,Very High,,15,0.936
CHE,Switzerland,Very High,,1,0.962
CHL,Chile,Very High,LAC,42,0.855
CHN,China,High,EAP,79,0.768
CIV,Ivory Coast,Medium,SSA,159,0.55
CMR,Cameroon,Medium,SSA,151,0.576
COD,The Democratic Republic of the Congo,Low,SSA,179,0.479
COG,Congo,Medium,SSA,153,0.571
COL,Colombia,High,LAC,88,0.752
COM,Comoros,Medium,SSA,156,0.558
CPV,Cabo Verde,Medium,SSA,128,0.662
CRI,Costa Rica,Very High,LAC,58,0.809
CUB,Cuba,High,LAC,83,0.764
CYP,Cyprus,Very High,,29,0.896
CZE,Czechia,Very High,,32,0.889
DEU,Germany,Very High,,9,0.942
DJI,Djibouti,Low,AS,171,0.509
DMA,Dominica,High,LAC,102,0.72
DNK,Denmark,Very High,,6,0.948
DOM,Dominican Republic,High,LAC,80,0.767
DZA,Algeria,High,AS,91,0.745
ECU,Ecuador,High,LAC,95,0.74
EGY,Egypt,High,AS,97,0.731
ERI,Eritrea,Low,SSA,176,0.492
ESP,Spain,Very High,,27,0.905
EST,Estonia,Very High,,31,0.89
ETH,Ethiopia,Low,SSA,175,0.498
FIN,Finland,Very High,,11,0.94
FJI,Fiji,High,EAP,99,0.73
FRA,France,Very High,,28,0.903
FSM,Micronesia,Medium,EAP,134,0.628
GAB,Gabon,High,SSA,112,0.706
GBR,United Kingdom,Very High,,18,0.929
GEO,Georgia,Very High,ECA,63,0.802
GHA,Ghana,Medium,SSA,133,0.632
GIN,Guinea,Low,SSA,182,0.465
GMB,Gambia,Low,SSA,174,0.5
GNB,Guinea-Bissau,Low,SSA,177,0.483
GNQ,Equatorial Guinea,Medium,SSA,145,0.596
GRC,Greece,Very High,,33,0.887
GRD,Grenada,High,LAC,68,0.795
GTM,Guatemala,Medium,LAC,135,0.627
GUY,Guyana,High,LAC,108,0.714
HKG,Hong Kong,Very High,,4,0.952
HND,Honduras,Medium,LAC,137,0.621
HRV,Croatia,Very High,,40,0.858
HTI,Haiti,Low,LAC,163,0.535
HUN,Hungary,Very High,,46,0.846
IDN,Indonesia,High,EAP,114,0.705
IND,India,Medium,SA,132,0.633
IRL,Ireland,Very High,,8,0.945
IRN,Iran,High,SA,76,0.774
IRQ,Iraq,Medium,AS,121,0.686
ISL,Iceland,Very High,,3,0.959
ISR,Israel,Very High,,22,0.919
